Token.ID	Variety	Corpus	Speaker	Speaker.sex	Speaker.YOB	Context	Inclusion	Inclusion.comments	Semantics	Response.variable	Verb.form	Verb.particle	Recipient	Recipient.head	Recipient.type	Recipient.animacy	Recipient.definiteness	Recipient.length	Recipient.coordinated	Recipient.quantified.pronoun	Recipient.contains.contraction	Recipient.contains.acronym	Recipient.contains.multiword.number	Recipient.contains.potentially.relevant.like	Theme	Theme.head	Theme.type	Theme.animacy	Theme.definiteness	Theme.length	Theme.coordinated	Theme.quantified.pronoun	Theme.rate.expression	Theme.contains.contraction	Theme.contains.acronym	Theme.contains.multiword.number	Theme.contains.potentially.relevant.like	Recipient.lemma	Recipient.inlist	Theme.lemma	Theme.inlist
dat-2626	US	SWBD	1002	F	1963	A: Right. I had a recipe from that, um, INTERNATIONAL COOKBOOK TWO, that's a great salad in summertime. Do you, do you garden or not? //B: No we don't, our next door neighbors do and some, a lot of times they'll give us something. //A: Okay. (( )) it's just sliced tomatoes and I put it on a glass plate because it looks real pretty.	y	NA	T	D	give	NA	us	us	P	A	Definite	1	0	0	0	0	0	0	something	something	I	I	Indefinite	1	0	0	0	0	0	0	0	us	TRUE	something	TRUE
dat-2627	US	SWBD	1016	F	1945	being here eleven years have a tendency to, uh, find out the, uh, about the different areas of the co-, of the, of the state by reading it. //A: Right, I've read that one too. I only had a subscription once, but my mother always gave me hers and I, I really enjoyed, you know, all the little things that you find out about Texas. //B: Oh yeah, it's, it's, uh, absolutely, it's great the way that it's broken out and you can, uh, set up little trips and day trips and things. It's	y	NA	T	D	gave	NA	me	me	P	A	Definite	1	0	0	0	0	0	0	hers	hers	P	I	Definite	1	0	0	0	0	0	0	0	me	TRUE	hers	TRUE
dat-2628	US	SWBD	1026	F	1957	of that as I, as she gets older and does start making decisions. //A: Uh-huh. //B: And be conscious that I need to give her options but not make the decisions for her. //A: Uh-huh. And you don't feel that your relationship with your father has unduly, uh, influenced your relationship with your husband, then.	y	NA	A	D	give	NA	her	her	P	A	Definite	1	0	0	0	0	0	0	options	options	N	I	Indefinite	1	0	0	0	0	0	0	0	her	TRUE	option	TRUE
dat-2629	US	SWBD	1031	F	1940	but it is a most powerful work station, all the way around multitasking and I mean a realtime multitasking operating system and computer made. //A: Well, you know, you'd be surprised how many of the various ones are coming in and giving us demos at all times -- //B: Uh-huh. //A: -- and I sit in on all this stuff.	y	NA	A	D	giving	NA	us	us	P	A	Definite	1	0	0	0	0	0	0	demos	demos	N	I	Indefinite	1	0	0	0	0	0	0	0	us	TRUE	demos	TRUE
dat-2630	US	SWBD	1033	F	1965	B: Yeah. //A: -- and sure enough we got it. //B: Well, uh, my mother-in-law gave us one for Christmas a couple years ago. I don't think it's five inches. I think it's a little bit bigger than that, but it runs on, uh, car batteries and -- //A: Uh-huh.	y	NA	T	D	gave	NA	us	us	P	A	Definite	1	0	0	0	0	0	0	one	one	I	I	Indefinite	1	0	0	0	0	0	0	0	us	TRUE	one	TRUE
dat-2631	US	SWBD	1050	M	1950	B: -- you know, it, it, it's {makes vocal sounds supposed to be like rap}. //A: [Laughter]. //B: You know, just [laughter] give me shelter. //A: I've, I've found that as I've gotten older that, that some of even the hard rock has started to, to bother me, and it,	y	NA	A	D	give	NA	me	me	P	A	Definite	1	0	0	0	0	0	0	shelter	shelter	N	I	Indefinite	1	0	0	0	0	0	0	0	me	TRUE	shelter	TRUE
dat-2632	US	SWBD	1053	F	1967	A: [Laughter] Yeah. //B: I'm not much of a hunter, but, I've never even bought a gun myself. My dad's given it to me, or someone's given me one, so I'm probably real illegal. [laughter] I'm carrying guns that aren't even mine. //A: [Laughter] Yeah, it's, it's a hard decision to make.	y	NA	T	D	given	NA	me	me	P	A	Definite	1	0	0	0	0	0	0	one	one	I	I	Indefinite	1	0	0	0	0	0	0	0	me	TRUE	one	TRUE
dat-2633	US	SWBD	1061	M	1957	A: [Laughter]. //B: We, uh, we have these classes we attend, uh, management classes and, and they give you books and, and the last book, uh, matter of fact I read was, AT AMERICA'S SERVICE by Carl ((Albrecht)). It talks about, uh, who the customer is and being customer oriented, uh, which falls in line with the T I culture here at Texas Instruments.	y	NA	T	D	give	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	books	books	N	I	Indefinite	1	0	0	0	0	0	0	0	you	TRUE	books	TRUE
dat-2634	US	SWBD	1083	F	1962	A: Yeah, we, we are, it's like we are partly responsible for their problems by loaning them all that money, that was really stupid on our part to even loan it to them. You don't loan money to people like that. I mean if you feel like you need to give them something to help them out, fine, but you don't go making billions of dollars of loans in, to people that you can just look at the situation, //B: They know they're not going to pay it back.	y	NA	T	D	give	NA	them	them	P	A	Definite	1	0	0	0	0	0	0	something	something	I	I	Indefinite	1	0	0	0	0	0	0	0	them	TRUE	something	TRUE
dat-2635	US	SWBD	1083	F	1962	another friend in, uh, Costa Rica that, she was born there. She's Costa Rican. I guess I do know a little bit. I went to Mexico City one time and stayed. I have been there twice and stayed and, that, aw, that was just really sad. But, a lot of it though is their debt. I think that we should not loan them anymore money, that if we still want to give them money, give them money, quit loaning it to them. You're not going to get it back. Don't be indebted to anybody. Don't be the loaner or borrower. It's just not good. We need to, if we feel like we need to give them money then give it to them, but quit loaning all the money out. Which I don't think we are loaning anymore now, but that's how we got into a problem. If we got, the, we have, we went in the hole by us loaning them all of these billions of dollars. That's common sense, you could just look at it and say they're not going to be able to pay	y	NA	T	D	give	NA	them	them	P	L	Definite	1	0	0	0	0	0	0	money	money	N	I	Indefinite	1	0	0	0	0	0	0	0	them	TRUE	money	TRUE
